label,statement,target,clean_text
half-true,"Women still do not get paid as much as men, even for the same work, period.",half-true,women still get paid much men even work period
mostly-true,"Says Hillary Clinton and millennials have the same positions on climate change, abortion rights, immigration reform, gay rights and college affordability. Donald Trump doesnt.",mostly-true,says hillary clinton millennials positions climate change abortion rights immigration reform gay rights college affordability donald trump doesnt
half-true,Says Donald Trump has a long history of exporting jobs overseas.,half-true,says donald trump long history exporting jobs overseas
half-true,"Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium.",half-true,scott walker cut million universities spend million pro basketball stadium
false,A defense bill includes language that would require military hospitals to provide abortions on demand.,false,defense bill includes language would require military hospitals provide abortions demand
false,Says Gov. Scott Walkers repeal of a 2009 law has left Wisconsin as one of five states without an equal pay law protecting women from gender discrimination in their paycheck.,false,says gov scott walkers repeal law left wisconsin one five states without equal pay law protecting women gender discrimination paycheck
true,Says New Jerseys prison system is 61 percent African-American even though our state is just 13 percent black.,true,says new jerseys prison system percent africanamerican even though state percent black
half-true,We are the only major country on Earth that doesnt guarantee health care to all people as a right.,half-true,major country earth doesnt guarantee health care people right
true,"Do you know that, statistically, when you take the SAT a second time, one third of the people that take the SAT, even if theyve been studying, will get a lower score than they did the first time around?",true,know statistically take sat second time one third people take sat even theyve studying get lower score first time around
barely-true,"On HealthCare.Gov, Texan Mark Sullivan found a good health insurance plan that includes dental, for less than $80 a month.",barely-true,healthcaregov texan mark sullivan found good health insurance plan includes dental less month
true,"Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.",true,sen obama declared repeatedly reaffirmed intention meet president iran without preconditions
mostly-true,We see a quarter-billion dollars in a pension fund that needs to be funded at $1.2 billion.,mostly-true,see quarterbillion dollars pension fund needs funded billion
true,I'm proud to have had a 100 percent pro-life voting record.,true,im proud percent prolife voting record
mostly-true,Americans are 20 times as likely to die from gun violence as citizens of other civilized countries.,mostly-true,americans times likely die gun violence citizens civilized countries
